date,nav,cash,weights
2020-02-04,98834.68737501437,1.4551915228366852e-11,"{'PKN': 0.13741794305038516, 'PZU': 0.11944250890580597, 'CDR': 0.09710295343482495, 'PEO': 0.0902931383565643, 'KGH': 0.06634089412439673, 'LPP': 0.06024043466124778, 'CPS': 0.04282995713696688, 'PGE': 0.03392700910126148, 'DNP': 0.03867529063402662, 'MBK': 0.02581466288500916, 'OPL': 0.023876624322845257, 'CCC': 0.013935370391303482, 'ALR': 0.013396370607138521, 'TPE': 0.009424549351824674, 'JSW': 0.0056081688102042, 'MEG': 0.11115909782200446, 'REG': 0.11051502640419052}"
2020-02-05,99744.98178736265,1.4551915228366852e-11,"{'PKN': 0.13741794305038516, 'PZU': 0.11944250890580597, 'CDR': 0.09710295343482495, 'PEO': 0.0902931383565643, 'KGH': 0.06634089412439673, 'LPP': 0.06024043466124778, 'CPS': 0.04282995713696688, 'PGE': 0.03392700910126148, 'DNP': 0.03867529063402662, 'MBK': 0.02581466288500916, 'OPL': 0.023876624322845257, 'CCC': 0.013935370391303482, 'ALR': 0.013396370607138521, 'TPE': 0.009424549351824674, 'JSW': 0.0056081688102042, 'MEG': 0.11115909782200446, 'REG': 0.11051502640419052}"
2020-02-06,99145.77299856374,1.4551915228366852e-11,"{'PKN': 0.13741794305038516, 'PZU': 0.11944250890580597, 'CDR': 0.09710295343482495, 'PEO': 0.0902931383565643, 'KGH': 0.06634089412439673, 'LPP': 0.06024043466124778, 'CPS': 0.04282995713696688, 'PGE': 0.03392700910126148, 'DNP': 0.03867529063402662, 'MBK': 0.02581466288500916, 'OPL': 0.023876624322845257, 'CCC': 0.013935370391303482, 'ALR': 0.013396370607138521, 'TPE': 0.009424549351824674, 'JSW': 0.0056081688102042, 'MEG': 0.11115909782200446, 'REG': 0.11051502640419052}"
2020-02-07,98994.48067412528,1.4551915228366852e-11,"{'PKN': 0.13741794305038516, 'PZU': 0.11944250890580597, 'CDR': 0.09710295343482495, 'PEO': 0.0902931383565643, 'KGH': 0.06634089412439673, 'LPP': 0.06024043466124778, 'CPS': 0.04282995713696688, 'PGE': 0.03392700910126148, 'DNP': 0.03867529063402662, 'MBK': 0.02581466288500916, 'OPL': 0.023876624322845257, 'CCC': 0.013935370391303482, 'ALR': 0.013396370607138521, 'TPE': 0.009424549351824674, 'JSW': 0.0056081688102042, 'MEG': 0.11115909782200446, 'REG': 0.11051502640419052}"
2020-02-10,98551.41024376011,1.4551915228366852e-11,"{'PKN': 0.13741794305038516, 'PZU': 0.11944250890580597, 'CDR': 0.09710295343482495, 'PEO': 0.0902931383565643, 'KGH': 0.06634089412439673, 'LPP': 0.06024043466124778, 'CPS': 0.04282995713696688, 'PGE': 0.03392700910126148, 'DNP': 0.03867529063402662, 'MBK': 0.02581466288500916, 'OPL': 0.023876624322845257, 'CCC': 0.013935370391303482, 'ALR': 0.013396370607138521, 'TPE': 0.009424549351824674, 'JSW': 0.0056081688102042, 'MEG': 0.11115909782200446, 'REG': 0.11051502640419052}"
2020-02-11,99259.8589009632,1.4551915228366852e-11,"{'PKN': 0.13741794305038516, 'PZU': 0.11944250890580597, 'CDR': 0.09710295343482495, 'PEO': 0.0902931383565643, 'KGH': 0.06634089412439673, 'LPP': 0.06024043466124778, 'CPS': 0.04282995713696688, 'PGE': 0.03392700910126148, 'DNP': 0.03867529063402662, 'MBK': 0.02581466288500916, 'OPL': 0.023876624322845257, 'CCC': 0.013935370391303482, 'ALR': 0.013396370607138521, 'TPE': 0.009424549351824674, 'JSW': 0.0056081688102042, 'MEG': 0.11115909782200446, 'REG': 0.11051502640419052}"
2020-02-12,99726.05727350082,1.4551915228366852e-11,"{'PKN': 0.13741794305038516, 'PZU': 0.11944250890580597, 'CDR': 0.09710295343482495, 'PEO': 0.0902931383565643, 'KGH': 0.06634089412439673, 'LPP': 0.06024043466124778, 'CPS': 0.04282995713696688, 'PGE': 0.03392700910126148, 'DNP': 0.03867529063402662, 'MBK': 0.02581466288500916, 'OPL': 0.023876624322845257, 'CCC': 0.013935370391303482, 'ALR': 0.013396370607138521, 'TPE': 0.009424549351824674, 'JSW': 0.0056081688102042, 'MEG': 0.11115909782200446, 'REG': 0.11051502640419052}"
2020-02-13,99516.61492382061,1.4551915228366852e-11,"{'PKN': 0.13741794305038516, 'PZU': 0.11944250890580597, 'CDR': 0.09710295343482495, 'PEO': 0.0902931383565643, 'KGH': 0.06634089412439673, 'LPP': 0.06024043466124778, 'CPS': 0.04282995713696688, 'PGE': 0.03392700910126148, 'DNP': 0.03867529063402662, 'MBK': 0.02581466288500916, 'OPL': 0.023876624322845257, 'CCC': 0.013935370391303482, 'ALR': 0.013396370607138521, 'TPE': 0.009424549351824674, 'JSW': 0.0056081688102042, 'MEG': 0.11115909782200446, 'REG': 0.11051502640419052}"
2020-02-14,99424.15067654401,1.4551915228366852e-11,"{'PKN': 0.13741794305038516, 'PZU': 0.11944250890580597, 'CDR': 0.09710295343482495, 'PEO': 0.0902931383565643, 'KGH': 0.06634089412439673, 'LPP': 0.06024043466124778, 'CPS': 0.04282995713696688, 'PGE': 0.03392700910126148, 'DNP': 0.03867529063402662, 'MBK': 0.02581466288500916, 'OPL': 0.023876624322845257, 'CCC': 0.013935370391303482, 'ALR': 0.013396370607138521, 'TPE': 0.009424549351824674, 'JSW': 0.0056081688102042, 'MEG': 0.11115909782200446, 'REG': 0.11051502640419052}"
2020-02-17,99643.03425119615,1.4551915228366852e-11,"{'PKN': 0.13741794305038516, 'PZU': 0.11944250890580597, 'CDR': 0.09710295343482495, 'PEO': 0.0902931383565643, 'KGH': 0.06634089412439673, 'LPP': 0.06024043466124778, 'CPS': 0.04282995713696688, 'PGE': 0.03392700910126148, 'DNP': 0.03867529063402662, 'MBK': 0.02581466288500916, 'OPL': 0.023876624322845257, 'CCC': 0.013935370391303482, 'ALR': 0.013396370607138521, 'TPE': 0.009424549351824674, 'JSW': 0.0056081688102042, 'MEG': 0.11115909782200446, 'REG': 0.11051502640419052}"
