name,ticker,market,sector
Compremum S.A.,CPR,GPW,Producer manufacturing
Cyfrowy Polsat SA,CPS,GPW,Consumer services
Carbon Studio S.A.,CRB,NEWCONNECT,Technology services
CARPATHIA CAPITAL S.A.,CRC,NEWCONNECT,Finance
Creotech Instruments SA,CRI,GPW,Electronic technology
Creepy Jar S.A.,CRJ,GPW,Technology services
PZ Cormay S.A.,CRM,GPW,Health technology
Cereal Planet PLC,CRP,NEWCONNECT,Consumer non-durables
Caspar Asset Management SA,CSR,GPW,Finance
CTE Group SA,CTE,NEWCONNECT,Commercial services
Centurion Finance ASI SA,CTF,NEWCONNECT,Technology services
City Service SE,CTS,GPW,Commercial services
Captor Therapeutics SA,CTX,GPW,Health technology
Consoleway SA,CWA,NEWCONNECT,Technology services
Czerwona Torebka SA,CZT,GPW,Finance
Dadelo SA,DAD,GPW,Retail trade
DataWalk Spolka Akcyjna,DAT,GPW,Technology services
Firma Oponiarska Debica S.A.,DBC,GPW,Consumer durables
DB Energy SA,DBE,GPW,Commercial services
Decora S.A.,DCR,GPW,Non-energy minerals
Detalion Games SA,DEG,NEWCONNECT,Technology services
Dekpol SA,DEK,GPW,Industrial services
Delko S.A.,DEL,GPW,Distribution services
DGA Spolka Akcyjna,DGA,GPW,Commercial services
DRAGO entertainment S.A.,DGE,GPW,Technology services
DG-NET SA,DGN,NEWCONNECT,Consumer services
Demolish Games S.A.,DGS,NEWCONNECT,Technology services
Diagnostyka S.A.,DIA,GPW,Health services
Digital Network S.A,DIG,GPW,Consumer services
DI VOLIO S.A.,DIV,NEWCONNECT,Finance
Dektra S.A.,DKR,NEWCONNECT,Distribution services
Dr. Miele Cosmed Group S.A.,DMG,GPW,Consumer non-durables
Dino Polska SA,DNP,GPW,Retail trade
DANKS Europejskie Centrum Doradztwa Podatkowego S.A.,DNS,NEWCONNECT,Commercial services
Dom Development S.A.,DOM,GPW,Finance
Dark Point Games SA,DPG,NEWCONNECT,Technology services
Dr. Finance SA,DRF,NEWCONNECT,Finance
Drageus Games S.A.,DRG,NEWCONNECT,Technology services
Digitree Group S.A.,DTR,GPW,Commercial services
Ditix S.A,DTX,NEWCONNECT,Finance
Duality SA,DUA,NEWCONNECT,Technology services
Develia S.A.,DVL,GPW,Finance
Esotiq & Henderson S.A.,EAH,GPW,Consumer non-durables
AmRest Holdings SE,EAT,GPW,Consumer services
Ekobox SA,EBX,NEWCONNECT,Utilities
ECB Spolka Akcyjna,ECB,GPW,Utilities
ECC Games SA,ECC,NEWCONNECT,Technology services
Echo Investment S.A.,ECH,GPW,Finance
Eurosnack S.A.,ECK,NEWCONNECT,Consumer non-durables
ECL S.A.,ECL,NEWCONNECT,Communications
Eco5tech SA,ECT,NEWCONNECT,Industrial services
ED invest S.A.,EDI,GPW,Consumer durables
EDITEL Polska S.A.,EDL,NEWCONNECT,Technology services
Ekipa Holding Spolka Akcyjna,EEE,NEWCONNECT,Commercial services
EKO EXPORT S. A.,EEX,GPW,Process industries
Europejski Fundusz Energii SA,EFE,NEWCONNECT,Technology services
Korporacja Gospodarcza efekt S.A.,EFK,GPW,Consumer services
Ekopol Gornoslaski Holding S.A.,EGH,NEWCONNECT,Distribution services
ENERGY S.A.,EGY,NEWCONNECT,Finance
EKO-OZE SA,EKE,NEWCONNECT,Health services
e-Kiosk S.A.,EKS,NEWCONNECT,Technology services
Elektromont Spolka Akcyjna,ELM,NEWCONNECT,Industrial services
ELQ Spolka Akcyjna,ELQ,NEWCONNECT,Producer manufacturing
ELEKTROTIM S.A.,ELT,GPW,Industrial services
Emplocity SA,EMP,NEWCONNECT,Technology services
Enea SA,ENA,GPW,Utilities
Eneida Games S.A.,END,NEWCONNECT,Technology services
Centrum Medyczne ENEL-MED S.A.,ENE,GPW,Finance
Energa SA,ENG,GPW,Utilities
Energoinstal SA,ENI,GPW,Producer manufacturing
Energoaparatura SA,ENP,GPW,Industrial services
Enter Air SA,ENT,GPW,Transportation
eo Networks SA,EON,NEWCONNECT,Technology services
EKOPARK S.A.,EPR,NEWCONNECT,Industrial services
Equnico SE,EQU,GPW,Industrial services
Erato Energy Spolka Akcyjna,ERA,NEWCONNECT,Finance
ERBUD S.A.,ERB,GPW,Industrial services
ERG S.A.,ERG,GPW,Process industries
Eskimos SA,ESK,NEWCONNECT,Consumer non-durables
Eurotel S.A.,ETL,GPW,Distribution services
Euro-Tax.pl S.A.,ETX,NEWCONNECT,Commercial services
Europejskie Centrum Odszkodowan S.A.,EUC,GPW,Finance
Eurocash S.A.,EUR,GPW,Distribution services
Examobile SA,EXA,NEWCONNECT,Technology services
EXCELLENCE S.A,EXC,NEWCONNECT,Consumer non-durables
e-Xim IT Spolka Akcyjna,EXM,NEWCONNECT,Technology services
Farm 51 Group SA,F51,NEWCONNECT,Consumer durables
Fabrity Holding S.A.,FAB,GPW,Commercial services
FEERUM S.A.,FEE,GPW,Producer manufacturing
Femion Technology SA,FEM,NEWCONNECT,Finance
Fast Finance S.A.,FFI,GPW,Commercial services
FARMY FOTOWOLTAIKI POLSKA S.A,FFP,NEWCONNECT,Industrial services
